Provincias;Sexo;Periodo;Total
11 Cádiz;Ambos sexos;2003;77,69
11 Cádiz;Ambos sexos;2002;77,88
11 Cádiz;Ambos sexos;2001;77,84
11 Cádiz;Ambos sexos;2000;77,32
11 Cádiz;Ambos sexos;1999;76,93
11 Cádiz;Ambos sexos;1998;76,89
11 Cádiz;Ambos sexos;1997;76,77
11 Cádiz;Ambos sexos;1996;76,19
39 Cantabria;Ambos sexos;2023;84,20
39 Cantabria;Ambos sexos;2022;83,06
39 Cantabria;Ambos sexos;2021;83,63
39 Cantabria;Ambos sexos;2020;83,00
39 Cantabria;Ambos sexos;2019;83,58
39 Cantabria;Ambos sexos;2018;83,33
39 Cantabria;Ambos sexos;2017;83,31
39 Cantabria;Ambos sexos;2016;83,14
39 Cantabria;Ambos sexos;2015;82,69
39 Cantabria;Ambos sexos;2014;82,78
39 Cantabria;Ambos sexos;2013;82,96
39 Cantabria;Ambos sexos;2012;82,54
39 Cantabria;Ambos sexos;2011;82,42
39 Cantabria;Ambos sexos;2010;82,06
39 Cantabria;Ambos sexos;2009;81,96
39 Cantabria;Ambos sexos;2008;81,62
39 Cantabria;Ambos sexos;2007;80,99
39 Cantabria;Ambos sexos;2006;80,99
39 Cantabria;Ambos sexos;2005;81,07
39 Cantabria;Ambos sexos;2004;80,82
39 Cantabria;Ambos sexos;2003;80,39
39 Cantabria;Ambos sexos;2002;80,11
39 Cantabria;Ambos sexos;2001;80,27
39 Cantabria;Ambos sexos;2000;79,35
39 Cantabria;Ambos sexos;1999;79,23
39 Cantabria;Ambos sexos;1998;79,55
39 Cantabria;Ambos sexos;1997;78,80
39 Cantabria;Ambos sexos;1996;78,57
12 Castellón/Castelló;Ambos sexos;2023;83,29
12 Castellón/Castelló;Ambos sexos;2022;82,57
12 Castellón/Castelló;Ambos sexos;2021;82,15
12 Castellón/Castelló;Ambos sexos;2020;82,70
12 Castellón/Castelló;Ambos sexos;2019;82,83
12 Castellón/Castelló;Ambos sexos;2018;82,40
12 Castellón/Castelló;Ambos sexos;2017;82,72
12 Castellón/Castelló;Ambos sexos;2016;82,68
12 Castellón/Castelló;Ambos sexos;2015;82,32
12 Castellón/Castelló;Ambos sexos;2014;82,41
12 Castellón/Castelló;Ambos sexos;2013;82,43
12 Castellón/Castelló;Ambos sexos;2012;82,48
12 Castellón/Castelló;Ambos sexos;2011;81,91
12 Castellón/Castelló;Ambos sexos;2010;81,91
12 Castellón/Castelló;Ambos sexos;2009;80,94
12 Castellón/Castelló;Ambos sexos;2008;80,98
12 Castellón/Castelló;Ambos sexos;2007;80,66
12 Castellón/Castelló;Ambos sexos;2006;80,46
12 Castellón/Castelló;Ambos sexos;2005;79,68
12 Castellón/Castelló;Ambos sexos;2004;80,07
12 Castellón/Castelló;Ambos sexos;2003;79,35
12 Castellón/Castelló;Ambos sexos;2002;79,29
12 Castellón/Castelló;Ambos sexos;2001;78,98
12 Castellón/Castelló;Ambos sexos;2000;79,17
12 Castellón/Castelló;Ambos sexos;1999;78,41
12 Castellón/Castelló;Ambos sexos;1998;78,40
12 Castellón/Castelló;Ambos sexos;1997;78,29
12 Castellón/Castelló;Ambos sexos;1996;77,71
13 Ciudad Real;Ambos sexos;2023;83,05
13 Ciudad Real;Ambos sexos;2022;82,95
13 Ciudad Real;Ambos sexos;2021;82,44
13 Ciudad Real;Ambos sexos;2020;80,36
13 Ciudad Real;Ambos sexos;2019;82,98
13 Ciudad Real;Ambos sexos;2018;82,87
13 Ciudad Real;Ambos sexos;2017;82,37
13 Ciudad Real;Ambos sexos;2016;82,68
13 Ciudad Real;Ambos sexos;2015;82,09
13 Ciudad Real;Ambos sexos;2014;82,63
13 Ciudad Real;Ambos sexos;2013;82,43
13 Ciudad Real;Ambos sexos;2012;81,89
13 Ciudad Real;Ambos sexos;2011;81,96
13 Ciudad Real;Ambos sexos;2010;82,11
13 Ciudad Real;Ambos sexos;2009;81,49
13 Ciudad Real;Ambos sexos;2008;80,85
13 Ciudad Real;Ambos sexos;2007;80,70
13 Ciudad Real;Ambos sexos;2006;80,76
13 Ciudad Real;Ambos sexos;2005;79,89
13 Ciudad Real;Ambos sexos;2004;79,90
13 Ciudad Real;Ambos sexos;2003;79,55
13 Ciudad Real;Ambos sexos;2002;79,18
