Lugar de condena;Nacionalidad;Periodo;Total
40 Segovia;Total;2019;1.015
40 Segovia;Total;2018;943
40 Segovia;Total;2017;893
40 Segovia;Total;2016;671
40 Segovia;Total;2015;619
40 Segovia;Total;2014;642
40 Segovia;Total;2013;838
41 Sevilla;Total;2023;16.197
41 Sevilla;Total;2022;17.746
41 Sevilla;Total;2021;18.047
41 Sevilla;Total;2020;13.742
41 Sevilla;Total;2019;18.433
41 Sevilla;Total;2018;18.113
41 Sevilla;Total;2017;17.347
41 Sevilla;Total;2016;15.637
41 Sevilla;Total;2015;12.176
41 Sevilla;Total;2014;11.430
41 Sevilla;Total;2013;11.585
42 Soria;Total;2023;660
42 Soria;Total;2022;642
42 Soria;Total;2021;653
42 Soria;Total;2020;423
42 Soria;Total;2019;592
42 Soria;Total;2018;459
42 Soria;Total;2017;407
42 Soria;Total;2016;407
42 Soria;Total;2015;377
42 Soria;Total;2014;430
42 Soria;Total;2013;532
43 Tarragona;Total;2023;7.975
43 Tarragona;Total;2022;7.870
43 Tarragona;Total;2021;7.688
43 Tarragona;Total;2020;5.754
43 Tarragona;Total;2019;7.790
43 Tarragona;Total;2018;7.840
43 Tarragona;Total;2017;7.417
43 Tarragona;Total;2016;7.477
43 Tarragona;Total;2015;5.885
43 Tarragona;Total;2014;5.750
43 Tarragona;Total;2013;5.631
44 Teruel;Total;2023;709
44 Teruel;Total;2022;721
44 Teruel;Total;2021;678
44 Teruel;Total;2020;589
44 Teruel;Total;2019;736
44 Teruel;Total;2018;623
44 Teruel;Total;2017;675
44 Teruel;Total;2016;717
44 Teruel;Total;2015;584
44 Teruel;Total;2014;573
44 Teruel;Total;2013;542
45 Toledo;Total;2023;3.490
45 Toledo;Total;2022;3.722
45 Toledo;Total;2021;3.663
45 Toledo;Total;2020;2.513
45 Toledo;Total;2019;3.447
45 Toledo;Total;2018;3.103
45 Toledo;Total;2017;3.124
45 Toledo;Total;2016;3.148
45 Toledo;Total;2015;2.832
45 Toledo;Total;2014;2.891
45 Toledo;Total;2013;2.695
46 Valencia/València;Total;2023;26.410
46 Valencia/València;Total;2022;26.689
46 Valencia/València;Total;2021;25.834
46 Valencia/València;Total;2020;19.767
46 Valencia/València;Total;2019;25.424
46 Valencia/València;Total;2018;25.855
46 Valencia/València;Total;2017;24.751
46 Valencia/València;Total;2016;22.917
46 Valencia/València;Total;2015;17.872
46 Valencia/València;Total;2014;16.948
46 Valencia/València;Total;2013;16.634
47 Valladolid;Total;2023;3.295
47 Valladolid;Total;2022;4.446
47 Valladolid;Total;2021;4.110
47 Valladolid;Total;2020;2.514
47 Valladolid;Total;2019;3.855
47 Valladolid;Total;2018;4.004
47 Valladolid;Total;2017;3.615
47 Valladolid;Total;2016;3.186
47 Valladolid;Total;2015;2.527
47 Valladolid;Total;2014;2.503
47 Valladolid;Total;2013;2.406
49 Zamora;Total;2023;731
49 Zamora;Total;2022;1.158
49 Zamora;Total;2021;1.162
49 Zamora;Total;2020;857
49 Zamora;Total;2019;907
49 Zamora;Total;2018;1.043
49 Zamora;Total;2017;956
49 Zamora;Total;2016;1.057
49 Zamora;Total;2015;938
49 Zamora;Total;2014;1.043
49 Zamora;Total;2013;1.003
50 Zaragoza;Total;2023;7.872
50 Zaragoza;Total;2022;8.127
50 Zaragoza;Total;2021;7.767
50 Zaragoza;Total;2020;5.868
50 Zaragoza;Total;2019;7.447
50 Zaragoza;Total;2018;7.237
50 Zaragoza;Total;2017;7.125
50 Zaragoza;Total;2016;6.810
50 Zaragoza;Total;2015;5.223
50 Zaragoza;Total;2014;4.745
50 Zaragoza;Total;2013;4.646
51 Ceuta;Total;2023;1.282
51 Ceuta;Total;2022;1.154
51 Ceuta;Total;2021;1.192
51 Ceuta;Total;2020;1.400
51 Ceuta;Total;2019;2.180
51 Ceuta;Total;2018;2.130
51 Ceuta;Total;2017;2.037
51 Ceuta;Total;2016;1.793
51 Ceuta;Total;2015;1.805
51 Ceuta;Total;2014;1.915
51 Ceuta;Total;2013;1.988
52 Melilla;Total;2023;1.154
